rh.aparc.thicknessstd	rh_bankssts_thicknessstd	rh_caudalanteriorcingulate_thicknessstd	rh_caudalmiddlefrontal_thicknessstd	rh_cuneus_thicknessstd	rh_entorhinal_thicknessstd	rh_fusiform_thicknessstd	rh_inferiorparietal_thicknessstd	rh_inferiortemporal_thicknessstd	rh_isthmuscingulate_thicknessstd	rh_lateraloccipital_thicknessstd	rh_lateralorbitofrontal_thicknessstd	rh_lingual_thicknessstd	rh_medialorbitofrontal_thicknessstd	rh_middletemporal_thicknessstd	rh_parahippocampal_thicknessstd	rh_paracentral_thicknessstd	rh_parsopercularis_thicknessstd	rh_parsorbitalis_thicknessstd	rh_parstriangularis_thicknessstd	rh_pericalcarine_thicknessstd	rh_postcentral_thicknessstd	rh_posteriorcingulate_thicknessstd	rh_precentral_thicknessstd	rh_precuneus_thicknessstd	rh_rostralanteriorcingulate_thicknessstd	rh_rostralmiddlefrontal_thicknessstd	rh_superiorfrontal_thicknessstd	rh_superiorparietal_thicknessstd	rh_superiortemporal_thicknessstd	rh_supramarginal_thicknessstd	rh_frontalpole_thicknessstd	rh_temporalpole_thicknessstd	rh_transversetemporal_thicknessstd	rh_insula_thicknessstd	BrainSegVolNotVent	eTIV
F_BPS_02	0.395	0.785	0.499	0.439	0.631	0.576	0.443	0.577	0.792	0.481	0.621	0.562	0.605	0.555	0.799	0.509	0.401	0.528	0.445	0.435	0.572	0.705	0.489	0.439	0.579	0.457	0.533	0.463	0.577	0.463	0.543	0.695	0.321	0.775	1085504.0	1276142.665277
F_BPS_03	0.509	0.768	0.466	0.377	0.684	0.571	0.474	0.675	0.808	0.555	0.666	0.555	0.646	0.603	0.841	0.531	0.412	0.614	0.591	0.422	0.601	0.737	0.586	0.538	0.677	0.56	0.572	0.499	0.576	0.529	0.689	0.731	0.35	0.877	898262.0	1367831.401666
F_BPS_04	0.4	0.47	0.41	0.419	0.798	0.549	0.435	0.67	0.735	0.533	0.501	0.484	0.545	0.592	0.466	0.434	0.38	0.53	0.398	0.334	0.529	0.601	0.497	0.502	0.487	0.454	0.457	0.434	0.541	0.45	0.437	0.539	0.342	0.613	994680.0	1397150.944669
F_BPS_05	0.383	0.84	0.427	0.456	0.676	0.597	0.42	0.658	0.763	0.512	0.616	0.558	0.593	0.581	0.752	0.477	0.464	0.482	0.418	0.45	0.513	0.663	0.528	0.468	0.691	0.479	0.495	0.413	0.486	0.47	0.445	0.665	0.575	0.763	1203295.0	1633517.728451
F_BPS_07	0.45	0.604	0.519	0.456	0.815	0.639	0.491	0.66	0.79	0.653	0.598	0.671	0.606	0.634	0.678	0.527	0.469	0.463	0.502	0.384	0.582	0.641	0.597	0.521	0.618	0.525	0.604	0.509	0.635	0.54	0.556	0.865	0.423	0.846	980742.0	1503722.438119
F_BPS_08	0.372	0.619	0.41	0.426	0.591	0.64	0.425	0.545	0.63	0.534	0.624	0.503	0.508	0.534	0.7	0.504	0.347	0.493	0.424	0.42	0.458	0.448	0.465	0.434	0.625	0.455	0.44	0.401	0.561	0.479	0.478	0.492	0.346	0.778	951568.0	1360181.585334
F_BPS_12	0.328	0.376	0.47	0.46	0.725	0.609	0.474	0.641	0.693	0.502	0.565	0.596	0.511	0.56	0.727	0.548	0.387	0.501	0.453	0.379	0.56	0.643	0.502	0.499	0.468	0.483	0.542	0.445	0.554	0.514	0.558	0.568	0.273	0.651	1079848.0	1581207.755035
F_BPS_13	0.439	0.527	0.404	0.443	0.629	0.603	0.444	0.525	0.703	0.499	0.57	0.562	0.593	0.496	0.754	0.589	0.397	0.592	0.423	0.307	0.563	0.588	0.545	0.517	0.514	0.456	0.538	0.446	0.545	0.507	0.502	0.687	0.314	0.582	1000597.0	1294601.124291
F_BPS_14	0.352	0.626	0.408	0.398	0.919	0.621	0.408	0.606	0.719	0.475	0.649	0.485	0.625	0.515	0.526	0.446	0.368	0.57	0.447	0.337	0.46	0.679	0.484	0.422	0.498	0.528	0.475	0.39	0.507	0.409	0.529	0.624	0.389	0.719	1024291.0	1581144.723876
F_BPS_15	0.333	0.606	0.367	0.448	0.876	0.537	0.395	0.557	0.743	0.495	0.521	0.57	0.497	0.469	0.572	0.521	0.417	0.443	0.402	0.482	0.461	0.616	0.475	0.421	0.66	0.436	0.422	0.389	0.462	0.391	0.568	0.742	0.399	0.662	1079774.0	1501881.644372
F_BPS_16	0.477	0.563	0.467	0.5	0.924	0.558	0.462	0.703	0.77	0.567	0.734	0.543	0.622	0.612	0.604	0.563	0.429	0.66	0.55	0.43	0.566	0.702	0.557	0.472	0.613	0.549	0.545	0.412	0.577	0.529	0.633	0.786	0.424	0.819	1244075.0	1642988.618894
F_BPS_19	0.414	0.411	0.463	0.381	0.794	0.521	0.471	0.676	0.704	0.646	0.726	0.62	0.601	0.675	0.707	0.504	0.374	0.579	0.507	0.308	0.558	0.623	0.526	0.501	0.489	0.448	0.558	0.506	0.581	0.484	0.465	0.548	0.4	0.785	1008483.0	1470031.620581
F_BPS_21	0.31	0.734	0.378	0.485	0.791	0.523	0.412	0.59	0.781	0.51	0.604	0.605	0.557	0.535	0.84	0.469	0.351	0.478	0.406	0.461	0.493	0.644	0.476	0.501	0.644	0.483	0.501	0.422	0.532	0.407	0.493	0.776	0.342	0.742	999152.0	1070867.016935
F_BPS_23	0.357	0.674	0.47	0.397	0.976	0.543	0.461	0.696	0.801	0.488	0.736	0.518	0.596	0.56	0.83	0.49	0.387	0.559	0.445	0.364	0.519	0.646	0.527	0.515	0.566	0.523	0.561	0.426	0.594	0.481	0.608	0.861	0.451	0.798	1040504.0	1237443.195265
F_BPS_24	0.34	0.611	0.491	0.443	0.911	0.616	0.419	0.649	0.688	0.606	0.634	0.572	0.661	0.664	0.746	0.541	0.439	0.638	0.472	0.433	0.507	0.625	0.528	0.481	0.664	0.552	0.634	0.427	0.633	0.467	0.727	0.555	0.327	0.712	1155820.0	1597377.709125
F_BPS_33	0.37	0.561	0.401	0.366	0.81	0.517	0.482	0.649	0.779	0.493	0.557	0.548	0.644	0.546	0.693	0.498	0.346	0.474	0.467	0.397	0.577	0.67	0.533	0.486	0.551	0.453	0.505	0.422	0.621	0.445	0.581	0.681	0.415	0.691	1055225.0	1370728.824023
F_BPS_34	0.356	0.735	0.46	0.5	0.744	0.65	0.487	0.66	0.807	0.469	0.587	0.547	0.652	0.571	0.838	0.433	0.402	0.461	0.49	0.418	0.547	0.819	0.489	0.497	0.65	0.487	0.525	0.431	0.573	0.509	0.743	0.601	0.329	0.779	1068078.0	1525085.591924
F_BPS_35	0.404	0.709	0.485	0.453	0.753	0.628	0.514	0.674	0.786	0.526	0.641	0.618	0.774	0.577	0.482	0.455	0.503	0.5	0.463	0.508	0.491	0.676	0.531	0.525	0.561	0.531	0.535	0.535	0.588	0.488	0.687	1.06	0.331	0.772	1064887.0	1641162.729851
